Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type
ENSG00000006611	ENSG00000006611.17	ENST00000005226	ENST00000005226.12	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	11	17493895	17544416	protein_coding
ENSG00000006118	ENSG00000006118.15	ENST00000005286	ENST00000005286.8	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	11	60924460	60937159	protein_coding
ENSG00000010626	ENSG00000010626.15	ENST00000007969	ENST00000007969.12	LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]	12	6873569	6914241	protein_coding
ENSG00000008405	ENSG00000008405.12	ENST00000008527	ENST00000008527.10	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]	12	106991364	107093549	protein_coding
ENSG00000010278	ENSG00000010278.15	ENST00000009180	ENST00000009180.10	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	12	6199715	6238271	protein_coding
ENSG00000010219	ENSG00000010219.14	ENST00000010132	ENST00000010132.6	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	12	4562208	4615302	protein_coding
ENSG00000008394	ENSG00000008394.13	ENST00000010404	ENST00000010404.6	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	12	16347142	16609259	protein_coding
ENSG00000010610	ENSG00000010610.10	ENST00000011653	ENST00000011653.9	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	12	6786858	6820799	protein_coding
ENSG00000071203	ENSG00000071203.9	ENST00000016913	ENST00000016913.8	MS4A12	membrane spanning 4-domains A12 [Source:HGNC Symbol;Acc:HGNC:13370]	11	60492778	60507430	protein_coding
ENSG00000022355	ENSG00000022355.18	ENST00000023897	ENST00000023897.10	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1 [Source:HGNC Symbol;Acc:HGNC:4075]	5	161847063	161899981	protein_coding
ENSG00000027847	ENSG00000027847.14	ENST00000029410	ENST00000029410.10	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	5	177600132	177610330	protein_coding
ENSG00000031003	ENSG00000031003.11	ENST00000033079	ENST00000033079.7	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]	5	137937960	138051961	protein_coding
ENSG00000052841	ENSG00000052841.16	ENST00000039989	ENST00000039989.9	TTC17	tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]	11	43358920	43494933	protein_coding
ENSG00000043462	ENSG00000043462.13	ENST00000046794	ENST00000046794.10	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	5	170246233	170297815	protein_coding
ENSG00000196083	ENSG00000196083.11	ENST00000072516	ENST00000072516.7	IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	3	190514051	190659750	protein_coding
ENSG00000060140	ENSG00000060140.9	ENST00000075503	ENST00000075503.8	STYK1	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]	12	10618923	10674318	protein_coding
ENSG00000061273	ENSG00000061273.18	ENST00000080059	ENST00000080059.12	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	12	47782722	47833132	protein_coding
ENSG00000061794	ENSG00000061794.13	ENST00000081029	ENST00000081029.8	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	12	27710822	27756295	protein_coding
ENSG00000008300	ENSG00000008300.17	ENST00000164024	ENST00000164024.5	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	3	48636463	48662886	protein_coding
ENSG00000068971	ENSG00000068971.14	ENST00000164133	ENST00000164133.7	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	11	64917553	64934475	protein_coding
ENSG00000069943	ENSG00000069943.10	ENST00000164305	ENST00000164305.10	PIGB	phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959]	15	55318960	55355648	protein_coding
ENSG00000072682	ENSG00000072682.20	ENST00000166534	ENST00000166534.8	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	5	132190147	132295315	protein_coding
ENSG00000075388	ENSG00000075388.4	ENST00000168712	ENST00000168712.3	FGF4	fibroblast growth factor 4 [Source:HGNC Symbol;Acc:HGNC:3682]	11	69771022	69775341	protein_coding
ENSG00000127241	ENSG00000127241.18	ENST00000169293	ENST00000169293.10	MASP1	MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]	3	187217282	187291980	protein_coding
ENSG00000075975	ENSG00000075975.17	ENST00000170447	ENST00000170447.12	MKRN2	makorin ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:7113]	3	12557057	12586208	protein_coding
ENSG00000069696	ENSG00000069696.7	ENST00000176183	ENST00000176183.6	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	11	637269	640706	protein_coding
ENSG00000064201	ENSG00000064201.16	ENST00000182290	ENST00000182290.9	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	11	2301997	2318204	protein_coding
ENSG00000172995	ENSG00000172995.17	ENST00000187397	ENST00000187397.8	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	3	35638945	35794496	protein_coding
ENSG00000075089	ENSG00000075089.10	ENST00000188312	ENST00000188312.7	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	12	100199122	100241865	protein_coding
ENSG00000075415	ENSG00000075415.15	ENST00000188376	ENST00000188376.9	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	12	98593591	98606379	protein_coding
ENSG00000012504	ENSG00000012504.15	ENST00000188403	ENST00000188403.7	NR1H4	nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]	12	100473708	100564414	protein_coding
ENSG00000081818	ENSG00000081818.4	ENST00000194152	ENST00000194152.4	PCDHB4	protocadherin beta 4 [Source:HGNC Symbol;Acc:HGNC:8689]	5	141121818	141125623	protein_coding
ENSG00000082684	ENSG00000082684.16	ENST00000195173	ENST00000195173.8	SEMA5B	semaphorin 5B [Source:HGNC Symbol;Acc:HGNC:10737]	3	122909082	123028605	protein_coding
ENSG00000166391	ENSG00000166391.15	ENST00000198801	ENST00000198801.10	MOGAT2	monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248]	11	75717838	75732958	protein_coding
ENSG00000086189	ENSG00000086189.11	ENST00000199320	ENST00000199320.9	DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]	5	62347284	62403943	protein_coding
ENSG00000197208	ENSG00000197208.6	ENST00000200652	ENST00000200652.4	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	5	132294394	132344190	protein_coding
ENSG00000087494	ENSG00000087494.16	ENST00000201015	ENST00000201015.8	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	12	27958084	27972733	protein_coding
ENSG00000089127	ENSG00000089127.15	ENST00000202917	ENST00000202917.10	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	12	112905856	112933219	protein_coding
ENSG00000089163	ENSG00000089163.4	ENST00000202967	ENST00000202967.4	SIRT4	sirtuin 4 [Source:HGNC Symbol;Acc:HGNC:14932]	12	120302316	120313249	protein_coding
ENSG00000010256	ENSG00000010256.11	ENST00000203407	ENST00000203407.6	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	3	48599002	48610976	protein_coding
ENSG00000089692	ENSG00000089692.9	ENST00000203629	ENST00000203629.3	LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	12	6772512	6778455	protein_coding
ENSG00000090487	ENSG00000090487.11	ENST00000204566	ENST00000204566.7	SPG21	SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]	15	64963022	64990310	protein_coding
ENSG00000091317	ENSG00000091317.8	ENST00000205636	ENST00000205636.4	CMTM6	CKLF like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	3	32481312	32502852	protein_coding
ENSG00000093217	ENSG00000093217.11	ENST00000207870	ENST00000207870.8	XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	3	38346760	38421348	protein_coding
ENSG00000094914	ENSG00000094914.14	ENST00000209873	ENST00000209873.9	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	12	53307456	53324864	protein_coding
ENSG00000103653	ENSG00000103653.17	ENST00000220003	ENST00000220003.14	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	15	74782080	74803197	protein_coding
ENSG00000103710	ENSG00000103710.11	ENST00000220062	ENST00000220062.9	RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	15	65053337	65076690	protein_coding
ENSG00000103811	ENSG00000103811.18	ENST00000220166	ENST00000220166.10	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	15	78921058	78949574	protein_coding
ENSG00000103888	ENSG00000103888.17	ENST00000220244	ENST00000220244.7	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	15	80779343	80951776	protein_coding
ENSG00000104055	ENSG00000104055.17	ENST00000220420	ENST00000220420.10	TGM5	transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]	15	43232590	43266928	protein_coding
ENSG00000104064	ENSG00000104064.18	ENST00000220429	ENST00000220429.12	GABPB1	GA binding protein transcription factor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4074]	15	50275389	50355408	protein_coding
ENSG00000104140	ENSG00000104140.7	ENST00000220507	ENST00000220507.5	RHOV	ras homolog family member V [Source:HGNC Symbol;Acc:HGNC:18313]	15	40872214	40874234	protein_coding
ENSG00000104147	ENSG00000104147.9	ENST00000220514	ENST00000220514.8	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	15	41309273	41332591	protein_coding
ENSG00000066336	ENSG00000066336.12	ENST00000227163	ENST00000227163.8	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	11	47354860	47378547	protein_coding
ENSG00000021300	ENSG00000021300.14	ENST00000227214	ENST00000227214.10	PLEKHB1	pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]	11	73646178	73662819	protein_coding
ENSG00000109846	ENSG00000109846.9	ENST00000227251	ENST00000227251.7	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	11	111908564	111923722	protein_coding
ENSG00000109861	ENSG00000109861.17	ENST00000227266	ENST00000227266.10	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	11	88265069	88359684	protein_coding
ENSG00000110060	ENSG00000110060.9	ENST00000227474	ENST00000227474.8	PUS3	pseudouridine synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]	11	125893485	125903221	protein_coding
ENSG00000110080	ENSG00000110080.20	ENST00000227495	ENST00000227495.10	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	11	126355640	126440344	protein_coding
ENSG00000168066	ENSG00000168066.22	ENST00000227503	ENST00000227503.13	SF1	splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950]	11	64764606	64778786	protein_coding
ENSG00000110108	ENSG00000110108.10	ENST00000227525	ENST00000227525.8	TMEM109	transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]	11	60914158	60923443	protein_coding
ENSG00000110218	ENSG00000110218.9	ENST00000227638	ENST00000227638.8	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	11	94128841	94181968	protein_coding
ENSG00000110243	ENSG00000110243.12	ENST00000227665	ENST00000227665.9	APOA5	apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]	11	116789367	116792420	protein_coding
ENSG00000110245	ENSG00000110245.12	ENST00000227667	ENST00000227667.8	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	11	116829706	116833072	protein_coding
