,target_filename,only_in_kr,in_both,only_in_gs
0,mouse_targets/target_intergenic_24_12_80436280:80436430.fasta,0,1,9
1,mouse_targets/target_gene_25_7_6079647:6079797.fasta,0,0,0
2,mouse_targets/target_intergenic_29_8_129246101:129246251.fasta,0,2,11
3,mouse_targets/target_duplicated_1_NC_000079.7_13630536:13630686.fasta,0,0,4
4,mouse_targets/target_duplicated_26_NC_000071.7_82001704:82001854.fasta,0,0,3
5,mouse_targets/target_gene_14_16_27211394:27211544.fasta,0,0,6
6,mouse_targets/target_gene_50_1_131856590:131856740.fasta,0,0,4
7,mouse_targets/target_intergenic_32_11_47642515:47642665.fasta,0,1,13
8,mouse_targets/target_duplicated_7_NC_000078.7_3186971:3187121.fasta,0,0,0
9,mouse_targets/target_intergenic_18_7_57036394:57036544.fasta,0,10,19
10,mouse_targets/target_duplicated_29_NC_000069.7_26603546:26603696.fasta,0,0,7
11,mouse_targets/target_intergenic_39_7_107310551:107310701.fasta,0,4,12
12,mouse_targets/target_gene_39_17_48656922:48657072.fasta,1,0,11
13,mouse_targets/target_duplicated_44_NC_000070.7_144562278:144562428.fasta,0,0,0
14,mouse_targets/target_gene_28_3_57193529:57193679.fasta,0,3,9
15,mouse_targets/target_gene_16_3_103657697:103657847.fasta,0,5,8
16,mouse_targets/target_gene_37_7_126872264:126872414.fasta,0,5,15
17,mouse_targets/target_gene_9_9_56616240:56616390.fasta,0,0,5
18,mouse_targets/target_gene_36_9_119989465:119989615.fasta,0,0,3
19,mouse_targets/target_intergenic_27_10_43457652:43457802.fasta,0,0,0
20,mouse_targets/target_intergenic_8_4_41578015:41578165.fasta,0,2,12
21,mouse_targets/target_gene_38_3_105892117:105892267.fasta,0,0,3
22,mouse_targets/target_duplicated_2_NC_000083.7_38085080:38085230.fasta,0,0,0
23,mouse_targets/target_duplicated_39_NC_000084.7_36896307:36896457.fasta,0,4,2
24,mouse_targets/target_gene_24_11_73144306:73144456.fasta,0,2,19
25,mouse_targets/target_intergenic_34_14_121501532:121501682.fasta,0,0,10
26,mouse_targets/target_gene_2_7_15677097:15677247.fasta,0,4,10
27,mouse_targets/target_intergenic_46_11_57970073:57970223.fasta,0,0,0
28,mouse_targets/target_duplicated_4_NW_023337853.1_26536:26686.fasta,0,0,0
