NCBI GeneID	Symbol	Description	Gene Type
101772	Ano1	anoctamin 1, calcium activated chloride channel	PROTEIN_CODING
104156	Etv5	ets variant 5	PROTEIN_CODING
104360	Isl2	insulin related protein 2 (islet 2)	PROTEIN_CODING
105675	Ppif	peptidylprolyl isomerase F (cyclophilin F)	PROTEIN_CODING
105787	Prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	PROTEIN_CODING
106759	Ticam1	toll-like receptor adaptor molecule 1	PROTEIN_CODING
107607	Nod1	nucleotide-binding oligomerization domain containing 1	PROTEIN_CODING
108071	Grm5	glutamate receptor, metabotropic 5	PROTEIN_CODING
108073	Grm7	glutamate receptor, metabotropic 7	PROTEIN_CODING
108079	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit	PROTEIN_CODING
109648	Npy	neuropeptide Y	PROTEIN_CODING
109689	Arrb1	arrestin, beta 1	PROTEIN_CODING
109880	Braf	Braf transforming gene	PROTEIN_CODING
110006	Gusb	glucuronidase, beta	PROTEIN_CODING
110066	Tcrd	T cell receptor delta chain	PROTEIN_CODING
110067	Tcrg	T cell receptor gamma chain	PROTEIN_CODING
110157	Raf1	v-raf-leukemia viral oncogene 1	PROTEIN_CODING
110308	Krt5	keratin 5	PROTEIN_CODING
110355	Grk2	G protein-coupled receptor kinase 2	PROTEIN_CODING
110454	Ly6a	lymphocyte antigen 6 complex, locus A	PROTEIN_CODING
110784	Nr3c2	nuclear receptor subfamily 3, group C, member 2	PROTEIN_CODING
111364	H2	histocompatibility-2, MHC	OTHER
111365144	LOC111365144	Nos2 promoter region	BIOLOGICAL_REGION
111507	Igh	immunoglobulin heavy chain complex	PROTEIN_CODING
111654	Ifna	interferon alpha	OTHER
11303	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	PROTEIN_CODING
11350	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	PROTEIN_CODING
114142	Foxp2	forkhead box P2	PROTEIN_CODING
11419	Asic1	acid-sensing (proton-gated) ion channel 1	PROTEIN_CODING
11421	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	PROTEIN_CODING
11423	Ache	acetylcholinesterase	PROTEIN_CODING
114332	Lyve1	lymphatic vessel endothelial hyaluronan receptor 1	PROTEIN_CODING
11441	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	PROTEIN_CODING
11444	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	PROTEIN_CODING
11450	Adipoq	adiponectin, C1Q and collagen domain containing	PROTEIN_CODING
11461	Actb	actin, beta	PROTEIN_CODING
11475	Acta2	actin alpha 2, smooth muscle, aorta	PROTEIN_CODING
11487	Adam10	a disintegrin and metallopeptidase domain 10	PROTEIN_CODING
11491	Adam17	a disintegrin and metallopeptidase domain 17	PROTEIN_CODING
11516	Adcyap1	adenylate cyclase activating polypeptide 1	PROTEIN_CODING
11539	Adora1	adenosine A1 receptor	PROTEIN_CODING
11540	Adora2a	adenosine A2a receptor	PROTEIN_CODING
11541	Adora2b	adenosine A2b receptor	PROTEIN_CODING
11545	Parp1	poly (ADP-ribose) polymerase family, member 1	PROTEIN_CODING
11551	Adra2a	adrenergic receptor, alpha 2a	PROTEIN_CODING
11554	Adrb1	adrenergic receptor, beta 1	PROTEIN_CODING
11555	Adrb2	adrenergic receptor, beta 2	PROTEIN_CODING
11556	Adrb3	adrenergic receptor, beta 3	PROTEIN_CODING
